iter	Passed	Remaining
1069	14168	12314
1070	14180	12300
1071	14193	12286
1072	14207	12274
1073	14222	12262
1074	14236	12250
1075	14250	12237
1076	14264	12224
1077	14278	12211
1078	14290	12198
1079	14304	12185
1080	14319	12173
1081	14332	12159
1082	14346	12147
1083	14360	12134
1084	14373	12121
1085	14386	12107
1086	14399	12094
1087	14411	12080
1088	14424	12066
1089	14436	12052
1090	14449	12039
1091	14462	12025
1092	14475	12011
1093	14488	11998
1094	14502	11986
1095	14515	11972
1096	14528	11959
1097	14541	11945
1098	14555	11933
1099	14568	11919
1100	14583	11908
1101	14597	11895
1102	14612	11883
1103	14626	11871
1104	14640	11858
1105	14653	11844
1106	14667	11831
1107	14679	11817
1108	14692	11804
1109	14705	11790
1110	14718	11777
1111	14730	11763
1112	14743	11750
1113	14758	11738
1114	14771	11724
1115	14784	11711
1116	14797	11697
1117	14809	11683
1118	14822	11669
1119	14835	11656
1120	14849	11643
1121	14862	11630
1122	14875	11617
1123	14889	11604
1124	14902	11590
1125	14918	11579
1126	14932	11566
1127	14947	11554
1128	14961	11542
1129	14974	11529
1130	14989	11517
1131	15002	11504
1132	15015	11490
1133	15029	11477
1134	15042	11464
1135	15055	11450
1136	15069	11438
1137	15083	11425
1138	15096	11411
1139	15109	11398
1140	15128	11389
1141	15148	11381
1142	15161	11367
1143	15174	11354
1144	15187	11340
1145	15200	11327
1146	15212	11313
1147	15226	11300
1148	15239	11287
1149	15252	11273
1150	15266	11260
1151	15278	11247
1152	15291	11233
1153	15304	11219
1154	15316	11205
1155	15329	11192
1156	15341	11178
1157	15354	11164
1158	15367	11151
1159	15381	11138
1160	15394	11125
1161	15408	11111
1162	15421	11098
1163	15433	11084
1164	15445	11070
1165	15458	11057
1166	15470	11042
1167	15482	11028
1168	15494	11014
1169	15507	11000
1170	15519	10986
1171	15532	10973
1172	15544	10959
1173	15557	10945
1174	15569	10931
1175	15581	10917
1176	15593	10903
1177	15605	10889
1178	15619	10876
1179	15632	10863
1180	15644	10849
1181	15656	10835
1182	15668	10821
1183	15680	10807
1184	15693	10793
1185	15705	10779
1186	15717	10765
1187	15730	10751
1188	15742	10737
1189	15755	10724
1190	15768	10710
1191	15781	10697
1192	15794	10683
1193	15806	10670
1194	15821	10657
1195	15833	10644
1196	15846	10630
1197	15861	10618
1198	15874	10605
1199	15888	10592
1200	15901	10579
1201	15915	10566
1202	15929	10553
1203	15942	10540
1204	15954	10526
1205	15967	10512
1206	15983	10500
1207	15997	10488
1208	16011	10475
1209	16024	10461
1210	16036	10448
1211	16049	10435
1212	16062	10421
1213	16076	10408
1214	16089	10395
1215	16104	10382
1216	16116	10369
1217	16130	10356
1218	16142	10342
1219	16155	10328
1220	16168	10315
1221	16181	10301
1222	16194	10288
1223	16207	10275
1224	16220	10261
1225	16235	10249
1226	16248	10236
1227	16261	10223
1228	16274	10209
1229	16286	10195
1230	16300	10182
1231	16312	10168
1232	16324	10155
1233	16338	10141
1234	16351	10128
1235	16365	10115
1236	16378	10102
1237	16393	10090
1238	16406	10076
1239	16419	10063
1240	16434	10051
1241	16447	10037
1242	16460	10024
1243	16473	10011
1244	16487	9998
1245	16499	9984
1246	16512	9971
1247	16525	9957
1248	16537	9943
1249	16550	9930
1250	16562	9916
1251	16575	9902
1252	16587	9889
1253	16600	9875
1254	16613	9862
1255	16627	9849
1256	16639	9835
1257	16651	9821
1258	16664	9808
1259	16676	9794
1260	16689	9780
1261	16703	9767
1262	16716	9754
1263	16728	9740
1264	16739	9726
1265	16752	9712
1266	16764	9698
1267	16778	9685
1268	16793	9673
1269	16805	9660
1270	16818	9646
1271	16831	9632
1272	16843	9619
1273	16855	9605
1274	16867	9591
1275	16880	9578
1276	16894	9564
1277	16907	9551
1278	16921	9539
1279	16934	9525
1280	16947	9512
1281	16961	9499
1282	16973	9485
1283	16987	9472
1284	17000	9459
1285	17013	9445
1286	17026	9432
1287	17041	9420
1288	17055	9407
1289	17068	9394
1290	17081	9381
1291	17096	9368
1292	17109	9355
1293	17122	9341
1294	17135	9328
1295	17148	9315
1296	17161	9301
1297	17173	9288
1298	17186	9274
1299	17199	9261
1300	17212	9247
1301	17224	9233
1302	17237	9220
1303	17250	9207
1304	17263	9194
1305	17277	9181
1306	17291	9168
1307	17305	9155
1308	17318	9141
1309	17330	9128
1310	17343	9114
1311	17355	9101
1312	17368	9087
1313	17381	9074
1314	17394	9060
1315	17408	9048
1316	17421	9034
1317	17434	9021
1318	17448	9008
1319	17461	8995
1320	17474	8982
1321	17488	8969
1322	17501	8955
1323	17513	8942
1324	17526	8928
1325	17539	8915
1326	17552	8901
1327	17564	8888
1328	17577	8874
1329	17590	8861
1330	17603	8848
1331	17617	8835
1332	17630	8821
1333	17643	8808
1334	17655	8794
1335	17669	8781
1336	17682	8768
1337	17697	8756
1338	17710	8742
1339	17724	8730
1340	17739	8717
1341	17752	8704
1342	17764	8690
1343	17778	8677
1344	17791	8664
1345	17804	8650
1346	17816	8637
1347	17829	8623
1348	17842	8610
1349	17855	8597
1350	17868	8583
1351	17882	8570
1352	17895	8557
1353	17908	8544
1354	17921	8530
1355	17934	8517
1356	17948	8504
1357	17961	8491
1358	17974	8478
1359	17989	8465
1360	18001	8452
1361	18014	8438
1362	18026	8424
1363	18039	8411
1364	18052	8398
1365	18065	8384
1366	18078	8371
1367	18091	8357
1368	18103	8344
1369	18116	8331
1370	18130	8318
1371	18143	8304
1372	18155	8291
1373	18168	8277
1374	18182	8264
1375	18195	8251
1376	18208	8238
1377	18220	8224
1378	18233	8211
1379	18247	8198
1380	18260	8184
1381	18273	8171
1382	18287	8158
1383	18300	8145
1384	18312	8131
1385	18325	8118
1386	18337	8104
1387	18350	8091
1388	18362	8077
1389	18374	8063
1390	18387	8050
1391	18399	8036
1392	18412	8023
1393	18429	8011
1394	18447	8000
1395	18460	7987
1396	18473	7973
1397	18487	7961
1398	18500	7947
1399	18514	7934
1400	18527	7921
1401	18540	7908
1402	18555	7895
1403	18569	7882
1404	18582	7869
1405	18595	7856
1406	18608	7842
1407	18621	7829
1408	18635	7816
1409	18649	7803
1410	18662	7790
1411	18675	7777
1412	18688	7763
1413	18701	7750
1414	18714	7736
1415	18727	7723
1416	18739	7710
1417	18752	7696
1418	18765	7683
1419	18777	7669
1420	18792	7656
1421	18805	7643
1422	18818	7630
1423	18831	7617
1424	18844	7603
1425	18856	7590
1426	18869	7577
1427	18882	7563
1428	18895	7550
1429	18909	7537
1430	18922	7523
1431	18934	7510
1432	18946	7496
1433	18959	7483
1434	18972	7470
1435	18985	7456
1436	18998	7443
1437	19011	7430
1438	19024	7416
1439	19037	7403
1440	19049	7389
1441	19062	7376
1442	19075	7363
1443	19087	7349
1444	19099	7335
1445	19112	7322
1446	19124	7308
1447	19138	7295
1448	19150	7282
1449	19163	7268
1450	19176	7255
1451	19190	7242
1452	19204	7229
1453	19217	7216
1454	19230	7203
1455	19243	7189
1456	19256	7176
1457	19269	7163
1458	19283	7150
